Scraped At,Top Section,Subcategory,Product Name,Brand (heuristic/listing),Price,Original Price,Discount,Rating (listing),Rating (detail),Reviews Count (listing),Reviews Count (detail),Target Audience,Availability,Seller,Product URL,Image URL (listing),Image URLs (detail),Short Description,Full Description,Breadcrumb,Page
2026-07-15 11:19:13,Accessories,Accessories,NISKO Silver Steel Storage Racks ( Pack of 1 ),NISKO,Rs. 245,"Rs. 1,499",84% Off,3.5,,36,0,Unspecified,,,https://www.snapdeal.com/product/nisko-silver-steel-storage-racks/636425778623#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/l/m/i/NISKO-Silver-Steel-Storage-Racks-SDL796448936-1-fbe29.jpg?w=220&h=258&sharp=7,,,,,1
2026-07-15 11:19:13,Accessories,Accessories,Blubby Red Korean Hair Clutcher with Pearl Tassel (Pack of 1),Blubby,Rs. 215,Rs. 999,78% Off,4.0,,667,0,Unspecified,,,https://www.snapdeal.com/product/blubby-multi-clutcher-pack-of/654875721473#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/k/7/o/Blubby-Multi-Clutcher-Pack-of-SDL566681677-1-b6caf.png?w=220&h=258&sharp=7,,,,,1
2026-07-15 11:19:13,Accessories,Accessories,Artflow Multicolor PVC Men's Long Raincoat ( Pack of 1 ),Artflow,Rs. 180,Rs. 499,64% Off,3.7,,375,0,Male,,,https://www.snapdeal.com/product/artflow-purple-pvc-mens-long/642820216507#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/l/n/q/Artflow-Purple-PVC-Men-s-SDL608029331-1-78404.jpg?w=220&h=258&sharp=7,,,,,1
2026-07-15 11:19:13,Accessories,Accessories,MJE Pack of 6 Men's Cotton Blend Ankle Length Socks ( Multicolor ),MJE,Rs. 130,Rs. 399,67% Off,3.8,,2511,0,Male,,,https://www.snapdeal.com/product/mje-pack-of-6-mens/660918910814#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/l/n/a/660918910814-6c3d3.jpg?w=220&h=258&sharp=7,,,,,1
2026-07-15 11:19:13,Accessories,Accessories,Bentag Multicolor Virgin Plastic Cigarette Lighter ( Pack of 1 ),Bentag,Rs. 158,Rs. 799,80% Off,3.7,,833,0,Unspecified,,,https://www.snapdeal.com/product/bentag-multicolor-virgin-plastic-cigarette/651961812502#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/k/x/5/Bentag-Multicolor-Virgin-Plastic-Cigarette-SDL469591195-1-c7841.png?w=220&h=258&sharp=7,,,,,1
2026-07-15 11:19:13,Accessories,Accessories,Loopa - Black Leather Men's Formal Belt ( Pack of 1 ),Loopa,Rs. 167,"Rs. 1,099",85% Off,4.1,,2871,0,Male,,,https://www.snapdeal.com/product/loopa-black-leather-mens-formal/634014569693#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/k/p/i/Loopa-Black-Leather-Men-s-SDL344530276-1-bf880.jpg?w=220&h=258&sharp=7,,,,,1
2026-07-15 11:19:13,Accessories,Accessories,BCD Pack of 4 Baby Girls Cotton Footies ( Multi ),BCD,Rs. 217,Rs. 699,69% Off,4.3,,126,0,Female,,,https://www.snapdeal.com/product/bcd-pack-of-4-baby/655418947370#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/l/b/j/BCD-Pack-of-4-Baby-SDL309597697-1-62a02.jpeg?w=220&h=258&sharp=7,,,,,1
2026-07-15 11:19:13,Accessories,Accessories,HANSWING All Type Shoes Cleaner,HANSWING,Rs. 148,Rs. 799,81% Off,3.8,,17,0,Unspecified,,,https://www.snapdeal.com/product/hanswing-all-type-shoes-cleaner/639070473136#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/k/9/q/HANSWING-All-Type-Shoes-Cleaner-SDL932531826-1-966fa.png?w=220&h=258&sharp=7,,,,,1
2026-07-15 11:19:13,Accessories,Accessories,"ECLET Pipe Cleaner Multi Color 100pcs for Hobby Crafts, Scrapbooking, DIY Accessory(color as per availability)",ECLET,Rs. 190,Rs. 499,62% Off,4.5,,29,0,Unspecified,,,https://www.snapdeal.com/product/eclet-pipe-cleaner-multi-color/626120315775#bcrumbSearch:accessories,,,,,,1
2026-07-15 11:19:13,Accessories,Accessories,Adorazone Long Raincoat - Black,Adorazone,Rs. 169,Rs. 999,83% Off,4.0,,27,0,Unspecified,,,https://www.snapdeal.com/product/adorazone-long-raincoat-black/667874255275#bcrumbSearch:accessories,,,,,,1
2026-07-15 11:19:14,Accessories,Accessories,Garcy Pack of 2 Unisex for Baby Caps ( Pink ),Garcy,Rs. 227,Rs. 399,43% Off,3.9,,14,0,Unspecified,,,https://www.snapdeal.com/product/garcy-pack-of-2-unisex/672838727367#bcrumbSearch:accessories,,,,,,1
2026-07-15 11:19:14,Accessories,Accessories,hanuco Height Increasing Insoles,hanuco,Rs. 301,Rs. 999,70% Off,4.1,,78,0,Unspecified,,,https://www.snapdeal.com/product/hanuco-height-increasing-insoles/630881449671#bcrumbSearch:accessories,,,,,,1
2026-07-15 11:19:14,Accessories,Accessories,FINZER WOMEN'S COTTON HANDKERCHIEF (PACK OF 12),FINZER,Rs. 189,Rs. 699,73% Off,4.3,,301,0,Female,,,https://www.snapdeal.com/product/finzer-womens-cotton-handkerchief-pack/629236089071#bcrumbSearch:accessories,,,,,,1
2026-07-15 11:19:14,Accessories,Accessories,"THRIFTKART Black,Skin color Women's UV Protection Gloves ( Pack of 2 )",THRIFTKART,Rs. 181,Rs. 999,82% Off,4.3,,35,0,Female,,,https://www.snapdeal.com/product/thriftkart-blackskin-color-womens-uv/633736720771#bcrumbSearch:accessories,,,,,,1
2026-07-15 11:19:14,Accessories,Accessories,Ashu PU Leather Unisex Card Holder ( Pack of 1 ),Ashu,Rs. 252,Rs. 499,49% Off,3.8,,47,0,Unspecified,,,https://www.snapdeal.com/product/ashu-pu-leather-unisex-card/638330247603#bcrumbSearch:accessories,,,,,,1
2026-07-15 11:19:14,Accessories,Accessories,Tahiro Multicolour Cotton Tattoo Print Arm Sleeves For Boys - Pack Of 5,Tahiro,Rs. 195,Rs. 449,57% Off,4.0,,443,0,Male,,,https://www.snapdeal.com/product/tahiro-multicolour-cotton-tattoo-print/685268598554#bcrumbSearch:accessories,,,,,,1
2026-07-15 11:19:14,Accessories,Accessories,Arctic Fox White USB Wired Desktop Keyboard,Arctic,Rs. 426,Rs. 599,29% Off,4.0,,37,0,Unspecified,,,https://www.snapdeal.com/product/arctic-fox-orange-usb-wired/8070451192050640671#bcrumbSearch:accessories,,,,,,1
2026-07-15 11:19:14,Accessories,Accessories,"Eclet Theme Buttons Operated Magnetic Pencil Stationery Box (with Accessories) Space Theme Trending Return Gift Geometry Compass Box for School Students Art Plastic Pencil Box (Set of 1, Dark Blue)",Eclet,Rs. 296,Rs. 599,51% Off,4.1,,30,0,Unspecified,,,https://www.snapdeal.com/product/eclet-theme-buttons-operated-magnetic/638484659050#bcrumbSearch:accessories,,,,,,1
2026-07-15 11:19:14,Accessories,Accessories,"Portable 2 in 1 Mini Sealing Machine, Handheld Packet Sealer for Food, Snacks, Chips, Fresh Storage, Plastic Bags Sealing Machine Multi color",Portable,Rs. 231,Rs. 799,71% Off,3.6,,380,0,Unspecified,,,https://www.snapdeal.com/product/portable-2-in-1-mini/625972156656#bcrumbSearch:accessories,,,,,,1
2026-07-15 11:19:14,Accessories,Accessories,Amor Benison PU Brown Casual Regular Wallet,Amor,Rs. 177,Rs. 599,70% Off,4.0,,2018,0,Unspecified,,,https://www.snapdeal.com/product/amor-benison-pu-brown-casual/656780311293#bcrumbSearch:accessories,,,,,,1
2026-07-15 11:19:14,Accessories,Accessories,NISKO Silver Steel Dish Racks ( Pack of 1 ),NISKO,Rs. 311,"Rs. 1,299",76% Off,3.5,,20,0,Unspecified,,,https://www.snapdeal.com/product/nisko-silver-steel-dish-racks/665016521248,,,,,,1
2026-07-15 11:19:15,Accessories,Accessories,Blubby Multicolor Hair Pin ( Pack of ),Blubby,Rs. 196,Rs. 799,75% Off,4.1,,39,0,Unspecified,,,https://www.snapdeal.com/product/blubby-multi-color-hair-pin/676137729086,,,,,,1
2026-07-15 11:19:15,Accessories,Accessories,"GEGE BEAR Pink Washable Beauty Blender Set with Headband and Wrist Bands, Soft SPA Accessories (Pack of 20)",GEGE,Rs. 262,Rs. 899,71% Off,4.8,,10,0,Unspecified,,,https://www.snapdeal.com/product/gege-bear-gege-bear-face/619566748613,,,,,,1
2026-07-15 11:19:15,Accessories,Accessories,finzer Pack of 5 Women's Cotton Ankle Length Socks ( Multicolor ),finzer,Rs. 199,Rs. 599,67% Off,4.1,,56,0,Female,,,https://www.snapdeal.com/product/finzer-pack-of-5-womens/684951404851,,,,,,1
2026-07-15 11:19:15,Accessories,Accessories,BHAVYTA COSMETIC Cream Polish Suitable for White Color,BHAVYTA,Rs. 160,Rs. 899,82% Off,3.6,,71,0,Unspecified,,,https://www.snapdeal.com/product/bhavyta-cosmetic-cream-polish-suitable/624974996872,,,,,,1
2026-07-15 11:19:15,Accessories,Accessories,Washing Machine detergent Tablet for Stain Remover Cleaner 24PCS,Washing,Rs. 163,Rs. 999,84% Off,3.9,,372,0,Unspecified,,,https://www.snapdeal.com/product/purple-dust-white-washing-machine/667702179447,,,,,,1
2026-07-15 11:19:15,Accessories,Accessories,THRIFTKART - Pyrite Nazar Anklet for Women | Stylish Evil Eye Protection Anklet | Crystal Healing Jewelry | Perfect Gift for Women,THRIFTKART,Rs. 282,Rs. 999,72% Off,4.5,,42,0,Female,,,https://www.snapdeal.com/product/thriftkart-pyrite-nazar-anklet-for/647157535060,,,,,,1
2026-07-15 11:19:15,Accessories,Accessories,INFISPACE Kid's Reusable EVA Rain Poncho Raincoat| Rain Jackets Long with Hood Eva Boys Purple B Color Raincoat pack of 1-13 - 14 Years,INFISPACE,Rs. 150,Rs. 972,85% Off,3.8,,123,0,Male,,,https://www.snapdeal.com/product/infispace-kids-reusable-eva-rain/664059494709,,,,,,1
2026-07-15 11:19:15,Accessories,Accessories,"NEXORA Wall Mounted Cigarette Ashtray Dustbin with Lid, Compact Mini Waste Bin for Bathroom, Office, Balcony, Space Saving Wall Hanging Ashtray, Fly Ash Proof",NEXORA,Rs. 246,Rs. 999,75% Off,4.0,,55,0,Unspecified,,,https://www.snapdeal.com/product/nexora-wall-mounted-cigarette-ashtray/625723601720,,,,,,1
2026-07-15 11:19:15,Accessories,Accessories,Sprha Grey Printed Shawl - ( Pack of 1 ),Sprha,Rs. 393,Rs. 999,61% Off,3.9,,115,0,Unspecified,,,https://www.snapdeal.com/product/sprha-grey-embroidered-shawl-pack/641540618009,,,,,,1
2026-07-15 11:19:15,Accessories,Accessories,Kitchen tap extension (Pack of 1) with Tightening Clamp Assorted Colors,Kitchen,Rs. 140,Rs. 499,72% Off,4.1,,2972,0,Unspecified,,,https://www.snapdeal.com/product/plastic-tap-dispenser-blue-colour/636228115488,,,,,,1
2026-07-15 11:19:15,Accessories,Accessories,"Wooden Hanger for Clothes Hanging, Hangers for Wardrobe and Cupboard, 8 Hook Adjustable Clothes Hanger for Lingerie, Belt, Scarf, Tie, Garments and Accessories",Wooden,Rs. 166,Rs. 499,67% Off,4.1,,694,0,Male,,,https://www.snapdeal.com/product/wooden-hanger-for-clothes-hanging/637808540443,,,,,,1
2026-07-15 11:19:15,Accessories,Accessories,Geniric Pack of 1 Woollen Men's Hat ( Red ),Geniric,Rs. 229,Rs. 499,54% Off,4.1,,117,0,Male,,,https://www.snapdeal.com/product/geniric-pack-of-1-woollen/6917529701637958451,,,,,,1
2026-07-15 11:19:16,Accessories,Accessories,"Lykaa U-Shaped Hair Fork Pins for Women & Girls | Matte Finish Bun Sticks Juda Pin | Durable Plastic Hair Accessories for Daily & Casual Wear-3Pcs, Multicolour",Lykaa,Rs. 235,Rs. 999,76% Off,4.4,,20,0,Female,,,https://www.snapdeal.com/product/lykaa-ushaped-hair-fork-pins/621123463562,,,,,,1
2026-07-15 11:19:16,Accessories,Accessories,Kastner PU Girls Cinch Belt ( Pack of 1 ),Kastner,Rs. 154,Rs. 599,74% Off,4.3,,29,0,Female,,,https://www.snapdeal.com/product/kastner-pu-girls-skinny-belt/5764608164838154071,,,,,,1
2026-07-15 11:19:16,Accessories,Accessories,Mr. Carve Flexible Shoe Horn,Mr.,Rs. 158,Rs. 599,74% Off,4.4,,49,0,Unspecified,,,https://www.snapdeal.com/product/mr-carve-flexible-shoe-horn/658300893004,,,,,,1
2026-07-15 11:19:16,Accessories,Accessories,Green plant indoor Natural Stones,Green,Rs. 64,Rs. 399,84% Off,4.0,,9,0,Unspecified,,,https://www.snapdeal.com/product/green-plant-indoor-natural-stones/646619399369,,,,,,1
2026-07-15 11:19:16,Accessories,Accessories,SnuggFit Best Sports Mens Cap Balaclava Biker Full Face Cover Bandana,SnuggFit,Rs. 165,Rs. 699,76% Off,3.9,,4448,0,Male,,,https://www.snapdeal.com/product/best-sports-biker-face-cover/625002682244,,,,,,1
2026-07-15 11:19:16,Accessories,Accessories,FIHA Womens Fishnet Bodystocking Crotchless Bodysuit Tights Soft Nightwear Lingerie,FIHA,Rs. 276,Rs. 499,45% Off,4.3,,140,0,Female,,,https://www.snapdeal.com/product/fiha-womens-fishnet-bodystocking-crotchless/657133206355,,,,,,1
2026-07-15 11:19:16,Accessories,Accessories,Zacharias Boy's Genuine Leather Belt for kids kb-009_Brown (Pack of 1),Zacharias,Rs. 259,Rs. 799,68% Off,5.0,,3,0,Male,,,https://www.snapdeal.com/product/zacharias-boys-genuine-leather-belt/673969675990,,,,,,1
2026-07-15 11:19:24,Accessories,Accessories,NISKO Silver Steel Storage Racks ( Pack of 1 ),NISKO,Rs. 245,"Rs. 1,499",84% Off,3.5,,36,0,Unspecified,,,https://www.snapdeal.com/product/nisko-silver-steel-storage-racks/636425778623#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/l/m/i/NISKO-Silver-Steel-Storage-Racks-SDL796448936-1-fbe29.jpg?w=220&h=258&sharp=7,,,,,2
2026-07-15 11:19:24,Accessories,Accessories,Blubby Red Korean Hair Clutcher with Pearl Tassel (Pack of 1),Blubby,Rs. 215,Rs. 999,78% Off,4.0,,667,0,Unspecified,,,https://www.snapdeal.com/product/blubby-multi-clutcher-pack-of/654875721473#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/k/7/o/Blubby-Multi-Clutcher-Pack-of-SDL566681677-1-b6caf.png?w=220&h=258&sharp=7,,,,,2
2026-07-15 11:19:24,Accessories,Accessories,Artflow Multicolor PVC Men's Long Raincoat ( Pack of 1 ),Artflow,Rs. 180,Rs. 499,64% Off,3.7,,375,0,Male,,,https://www.snapdeal.com/product/artflow-purple-pvc-mens-long/642820216507#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/l/n/q/Artflow-Purple-PVC-Men-s-SDL608029331-1-78404.jpg?w=220&h=258&sharp=7,,,,,2
2026-07-15 11:19:24,Accessories,Accessories,MJE Pack of 6 Men's Cotton Blend Ankle Length Socks ( Multicolor ),MJE,Rs. 130,Rs. 399,67% Off,3.8,,2511,0,Male,,,https://www.snapdeal.com/product/mje-pack-of-6-mens/660918910814#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/l/n/a/660918910814-6c3d3.jpg?w=220&h=258&sharp=7,,,,,2
2026-07-15 11:19:24,Accessories,Accessories,Bentag Multicolor Virgin Plastic Cigarette Lighter ( Pack of 1 ),Bentag,Rs. 158,Rs. 799,80% Off,3.7,,833,0,Unspecified,,,https://www.snapdeal.com/product/bentag-multicolor-virgin-plastic-cigarette/651961812502#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/k/x/5/Bentag-Multicolor-Virgin-Plastic-Cigarette-SDL469591195-1-c7841.png?w=220&h=258&sharp=7,,,,,2
2026-07-15 11:19:24,Accessories,Accessories,Loopa - Black Leather Men's Formal Belt ( Pack of 1 ),Loopa,Rs. 167,"Rs. 1,099",85% Off,4.1,,2871,0,Male,,,https://www.snapdeal.com/product/loopa-black-leather-mens-formal/634014569693#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/k/p/i/Loopa-Black-Leather-Men-s-SDL344530276-1-bf880.jpg?w=220&h=258&sharp=7,,,,,2
2026-07-15 11:19:24,Accessories,Accessories,BCD Pack of 4 Baby Girls Cotton Footies ( Multi ),BCD,Rs. 217,Rs. 699,69% Off,4.3,,126,0,Female,,,https://www.snapdeal.com/product/bcd-pack-of-4-baby/655418947370#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/l/b/j/BCD-Pack-of-4-Baby-SDL309597697-1-62a02.jpeg?w=220&h=258&sharp=7,,,,,2
2026-07-15 11:19:25,Accessories,Accessories,HANSWING All Type Shoes Cleaner,HANSWING,Rs. 148,Rs. 799,81% Off,3.8,,17,0,Unspecified,,,https://www.snapdeal.com/product/hanswing-all-type-shoes-cleaner/639070473136#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/k/9/q/HANSWING-All-Type-Shoes-Cleaner-SDL932531826-1-966fa.png?w=220&h=258&sharp=7,,,,,2
2026-07-15 11:19:25,Accessories,Accessories,"ECLET Pipe Cleaner Multi Color 100pcs for Hobby Crafts, Scrapbooking, DIY Accessory(color as per availability)",ECLET,Rs. 190,Rs. 499,62% Off,4.5,,29,0,Unspecified,,,https://www.snapdeal.com/product/eclet-pipe-cleaner-multi-color/626120315775#bcrumbSearch:accessories,,,,,,2
2026-07-15 11:19:25,Accessories,Accessories,Adorazone Long Raincoat - Black,Adorazone,Rs. 169,Rs. 999,83% Off,4.0,,27,0,Unspecified,,,https://www.snapdeal.com/product/adorazone-long-raincoat-black/667874255275#bcrumbSearch:accessories,,,,,,2
2026-07-15 11:19:25,Accessories,Accessories,Garcy Pack of 2 Unisex for Baby Caps ( Pink ),Garcy,Rs. 227,Rs. 399,43% Off,3.9,,14,0,Unspecified,,,https://www.snapdeal.com/product/garcy-pack-of-2-unisex/672838727367#bcrumbSearch:accessories,,,,,,2
2026-07-15 11:19:25,Accessories,Accessories,hanuco Height Increasing Insoles,hanuco,Rs. 301,Rs. 999,70% Off,4.1,,78,0,Unspecified,,,https://www.snapdeal.com/product/hanuco-height-increasing-insoles/630881449671#bcrumbSearch:accessories,,,,,,2
2026-07-15 11:19:25,Accessories,Accessories,FINZER WOMEN'S COTTON HANDKERCHIEF (PACK OF 12),FINZER,Rs. 189,Rs. 699,73% Off,4.3,,301,0,Female,,,https://www.snapdeal.com/product/finzer-womens-cotton-handkerchief-pack/629236089071#bcrumbSearch:accessories,,,,,,2
2026-07-15 11:19:25,Accessories,Accessories,"THRIFTKART Black,Skin color Women's UV Protection Gloves ( Pack of 2 )",THRIFTKART,Rs. 181,Rs. 999,82% Off,4.3,,35,0,Female,,,https://www.snapdeal.com/product/thriftkart-blackskin-color-womens-uv/633736720771#bcrumbSearch:accessories,,,,,,2
2026-07-15 11:19:25,Accessories,Accessories,Ashu PU Leather Unisex Card Holder ( Pack of 1 ),Ashu,Rs. 252,Rs. 499,49% Off,3.8,,47,0,Unspecified,,,https://www.snapdeal.com/product/ashu-pu-leather-unisex-card/638330247603#bcrumbSearch:accessories,,,,,,2
2026-07-15 11:19:25,Accessories,Accessories,Tahiro Multicolour Cotton Tattoo Print Arm Sleeves For Boys - Pack Of 5,Tahiro,Rs. 195,Rs. 449,57% Off,4.0,,443,0,Male,,,https://www.snapdeal.com/product/tahiro-multicolour-cotton-tattoo-print/685268598554#bcrumbSearch:accessories,,,,,,2
2026-07-15 11:19:25,Accessories,Accessories,Arctic Fox White USB Wired Desktop Keyboard,Arctic,Rs. 426,Rs. 599,29% Off,4.0,,37,0,Unspecified,,,https://www.snapdeal.com/product/arctic-fox-orange-usb-wired/8070451192050640671#bcrumbSearch:accessories,,,,,,2
